world_rank,name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,California Institute of Technology,United States of America,96.3,59.8,99.4,99.7,95.6,95.5,"2,243",6.9,27%,33 : 67,2013
2,Stanford University,United States of America,95,56.6,98.8,99.3,62.4,93.7,"15,596",7.8,22%,42:58:00,2013
2,University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,93.7,"19,919",11.6,34%,46:54:00,2013
4,Harvard University,United States of America,94.9,63.7,98.6,99.2,39.9,93.6,"20,152",8.9,25%,,2013
5,Massachusetts Institute of Technology,United States of America,92.9,81.6,89.2,99.9,92.9,93.1,"11,074",9,33%,37 : 63,2013
6,Princeton University,United States of America,89.5,54.5,99.4,99.8,79.5,92.7,"7,929",8.4,27%,45:55:00,2013
7,University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,92.6,"18,812",11.8,34%,46:54:00,2013
8,Imperial College London,United Kingdom,88,91.4,90.9,93,87.5,90.6,"15,060",11.7,51%,37 : 63,2013
9,"University of California, Berkeley",United States of America,85.1,49.7,99.3,99.3,65.4,90.5,"36,186",16.4,15%,50:50:00,2013
10,University of Chicago,United States of America,89.6,55.3,92.9,98.7,NaN,90.4,"14,221",6.9,21%,42:58:00,2013
11,Yale University,United States of America,93.2,54.7,92.5,94.8,38.2,89.2,"11,751",4.4,20%,50:50:00,2013
12,ETH Zurich Swiss Federal Institute of Technology Zurich,Switzerland,82.5,95.7,92.7,86.6,NaN,87.8,"18,178",14.7,37%,31 : 69,2013
13,"University of California, Los Angeles",United States of America,87.3,42.3,93.8,95.9,NaN,87.7,"38,206",10.3,15%,52:48:00,2013
14,Columbia University,United States of America,89.7,66.1,82,96.1,NaN,87,"25,055",5.9,28%,,2013
15,University of Pennsylvania,United States of America,90,38.1,89.4,96.2,43.7,86.6,"20,376",6.5,20%,51:49:00,2013
16,Johns Hopkins University,United States of America,81.8,57.3,85.5,95.3,100,85.6,"15,128",3.6,23%,50:50:00,2013
17,University College London,United Kingdom,83.5,89,88.8,86.8,45.1,85.5,"26,607",10.7,46%,56:44:00,2013
18,Cornell University,United States of America,77,53.8,92.1,91.8,39.5,83.3,"21,424",10.2,19%,48:52:00,2013
19,Northwestern University,United States of America,77.6,33.8,87.3,98.2,64.4,83.1,"18,334",13.8,15%,48:52:00,2013
20,University of Michigan,United States of America,76.1,47.6,91.4,91.6,53.9,82.6,"41,786",9,16%,48:52:00,2013
21,University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,82.2,"66,198",19.5,15%,,2013
22,Carnegie Mellon University,United States of America,71.8,51.4,87,95.5,55.9,81.5,"11,885",13.1,35%,39 : 61,2013
23,Duke University,United States of America,72.3,45.8,81.5,97,100,81.2,"15,172",4.8,17%,49:51:00,2013
24,University of Washington,United States of America,74.7,39.1,81.3,97,41.3,79.9,"44,020",11.8,13%,53:47:00,2013
25,Georgia Institute of Technology,United States of America,70.2,66.3,79.5,90.3,74.9,78.8,"19,967",20.1,26%,31 : 69,2013
25,University of Texas at Austin,United States of America,75.5,42.1,80.7,91,57.9,78.8,"49,427",17.4,9%,51:49:00,2013
27,University of Tokyo,Japan,87.9,27.6,89.9,71.3,59,78.3,"26,199",5.7,10%,,2013
28,University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,77.9,"40,128",23.7,35%,55:45:00,2013
29,National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,77.5,"31,592",15.5,34%,49:51:00,2013
30,University of British Columbia,Canada,69.1,82.1,80.4,84,42.4,77.3,"50,152",17.6,25%,54:46:00,2013
